Year,Book,Edition,Author,Language,Translated from,Source,Link,epdf,fb_occurrence (0=none 1=rare 2=occasional 3=common 4=dense),rn_occurrence? (0=none 1=rare 2=occasional 3=common 4=dense),rn_specific_pages,rn_case_sensitive,rn_inversion_letter,rn_inversion_numeric,rn_multirow,rn_appliedchord,rn_fraction,notes_1,notes_2,notes_3,notes_4,,Roman numerals?,Case sensitive?,Inversions?,Applied chords?
1854,A rudimentary and practical treatise on music,4,"Spencer, Charles Child",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/ARudimentaryandPracticalTreatiseonMusic_10014195,Yes,2,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,No,No,No,No
1855,Course of Harmony: Being a Manual of Instruction in the Principles of Thorough-bass and Harmony,,"Southard, Lucien H.",English,,Hathitrust,https://babel.hathitrust.org/cgi/pt?id=nyp.33433082182282,Yes,3,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,*: Almost entirely relies on figured bass,really fun figured bass exercises,,,,No,-,Yes,No
1857,Cours d'Harmonie Théorique Et Pratique,,"Bazin, François",French,,Forgottenbooks,https://www.forgottenbooks.com/fr/books/CoursdHarmonieTheoriqueEtPratique_11119901,Yes,3,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,No,No,No,No
1860,Harmonielehre: Zunächst zum Gebrauch für Schullehrer-Seminarien,,"Volckmar, Wilhelm Valentin",German,,Hathitrust,https://babel.hathitrust.org/cgi/pt?id=nyp.33433082183348,Yes,3,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,*: Roman numerals used to indicate theme I and II in motivic analysis; not relevant for harmony or chords,,,,,No,No,No,No
1860,Lehrbuch der Harmonie,3,"Richter, Ernst Friedrich",German,,IMSLP,conquest.imslp.info/files/imglnks/usimg/2/29/IMSLP241667-SIBLEY1802.15875.8f99-39087009938046text.pdf,Yes,2,2,"21, multiple pages",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pp.115: very cryptic but interesting notation for modulations; *: Chord labels too,,,,,Yes,Yes,No,
1862,Traité d'Harmonie,,"Reber, Henri",French,,Other,https://gallica.bnf.fr/ark:/12148/bpt6k9622991c/f11.item.texteImage#,Yes,3,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,No (arabic numerals used for degrees),No,No,No
1866,Harmoniesystem in dualer Entwicklung,,"von Oettingen, Arthur",German,,Forgottenbooks,https://www.forgottenbooks.com/de/books/HarmoniesysteminDualerEntwickelung_11239240,Yes,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"*: Not many music notation examples, mostly text",,,,,No,No,No,No
1868,A treatise on harmony,,"Ouseley, Frederick Arthur Gore",English,,Hathitrust,https://babel.hathitrust.org/cgi/pt?id=hvd.32044041124884,Yes,3,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,*: Almost exclusively based on figured bass,,,,,No,No,No,No
1868,System und methode der harmonielehre,,"Tiersch, Otto",German,,Hathitrust,https://babel.hathitrust.org/cgi/pt?id=mdp.39015009603385,Yes,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,*: Completely different system to anything else,,,,,No,No,No,No
1874,Elementarbuch der Musikalischen Harmonie-und Modulationslehre,,"Tiersch, Otto",German,,Forgottenbooks,https://www.forgottenbooks.com/de/books/ElementarbuchderMusikalischenHarmonieundModulationslehre_10344163,Yes,1,1,87,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,*: Seems like he abandoned his older system entirely for figured bass and Roman numerals,,,,,Yes (pp.87),Yes,Yes (pp.123),
1878,Theory and rudimental harmony,,"Tracy, James",English,,Hathitrust,https://babel.hathitrust.org/cgi/pt?id=hvd.32044041181926,Yes,2,2,"68, 69, 77",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"pp.77: has a weird syntax for sevenths (e.g., no 7 written on dominant seventh); *: Has chord labels as well, puts the diminished circle at the beginning instead of the end, weird syntax for modulations too (no colon), found the table of relationships of keys",,,,,Yes,Yes,No,No
1878,Praktische Musikalische Compositionslehre in Aufgaben,,"Bussler, Ludwig",German,,Forgottenbooks,https://www.forgottenbooks.com/de/books/PraktischeMusikalischeCompositionslehreinAufgaben_11005817,Yes,2,2,"4, 20, 63",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"*: This is one of the first examples of concurrent Roman numerals and figured bass, possibly explaining the later practice of denoting inversions using stacks of arabic numerals next to the Roman numerals","There appear to be two books here, both by Bussler",,,,Yes,No,No,No
1879,Elements of harmony,,"Emery, Stephen",English,,Hathitrust,https://babel.hathitrust.org/cgi/pt?id=hvd.32044041044199,Yes,3,3,"51, 102",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"*: Description of augmented sixth chords as ""Augmented Sixth Chord (Italian)"", ""Augmented Six-Four-Three"" (French), and Augmented Six-Five (German). For those chords, the author starts to mix Roman numerals and inversions",,,,,Yes,Yes,Yes*,
1879,Harmonielehre für Lehrer und Lernende,,"Kistler, Cyrill",German,,Google,https://play.google.com/store/books/details?id=CXJQs6H5etUC&rdid=book-CXJQs6H5etUC&rdot=1,Yes,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"*: Used Roman numerals for enumerating seventh chords, but went beyond vii, so it was basically an enum, not a scale degree",,,,,"No* (used in explanations, but not in musical examples)",No,No,No
1880,Harmony on the inductive method,,"Clarke, Hugh Archibald",English,,Hathitrust,https://babel.hathitrust.org/cgi/pt?id=mdp.39015009600464,Yes,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,No,No,No,No
1881,Harmony: Historic Points and Modern Methods of Instruction,,"Bowman, Edward Morris",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/Harmony_10289484,Yes,1,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,No,No,No,No
1881,Traité Complet d'Harmonie Théorique Et Pratique,,"Durand, Emile",French,,Forgottenbooks,https://www.forgottenbooks.com/fr/books/TraiteCompletdHarmonieTheoriqueEtPratique_10734149,Yes,3,3,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"*: Roman numerals here refer to degrees, but not chord roots",,,,,No,No,No,No
1883,Harmony,,"Mangold, Carl",English,,McGill library,https://linker2.worldcat.org/?jHome=https%3A%2F%2Fcatalog.hathitrust.org%2Fapi%2Fvolumes%2Foclc%2F68156031.html&linktype=best,Yes,3,1,"15, 32, 38",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,No,,No,No
1883,Harmony and Instrumentation,,"Coon, Oscar",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/HarmonyandInstrumentation_10856236,Yes,3,3,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,Yes,Yes,No (on upper staff),No
1883,Neue schule der melodik,,"Riemann, Hugo",German,,Hathitrust,https://babel.hathitrust.org/cgi/pt?id=nyp.33433082286620,Yes,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,*: A different notation system,,,,,"Scarce (for different purposes than chords, it seems)",No,No,No
1883,Lehrbuch der Harmonie,,"Jadassohn, Salomon",German,,Forgottenbooks,https://www.forgottenbooks.com/de/books/LehrbuchderHarmonie_11046778,Yes,3,3,"20, 38",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"*: Another case of fast changes of key using colons, not the slash ""/"" syntax. Augmented triads denoted with a single quote III'",,,,,Yes,Yes,No,No
1884,Text Book of Harmony,7,"Oakey, George",English,,IMSLP,https://imslp.org/wiki/Text_Book_of_Harmony_(Oakey%2C_George),Yes,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,No,No,No,No
1885,Harmonie Et Mélodie,,"Saint-Saëns, Camille",French,,Forgottenbooks,https://www.forgottenbooks.com/fr/books/HarmonieEtMelodie_10368924,Yes,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,No,No,No,No
1887,Systematische Modulationslehre,,"Riemann, Hugo",German,,Forgottenbooks,https://www.forgottenbooks.com/de/books/SystematischeModulationslehre_10359493,Yes,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,*: Very weird syntax with Roman numerals to denote modulation. Also use of the strikethrough V as some sort of secondary dominant,,,,,"Yes (RN, but not scale degrees)",No,No,No
1889,A System of Harmony for Teacher and Pupil,,"Broekhoven, John Andrew",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/ASystemofHarmonyforTeacherandPupil_10619712,Yes,3,3,"28, 89",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,pp.106: chord labels in the modulation section; *: Augmented chords indicated with a superscript comma (V'). Multirow key analysis,,,,,Yes,Yes,No,
1889,Harmony its theory and practice,5,"Prout, Ebenezer",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/HarmonyItsTheoryandPractice_10034780,Yes,3,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,No,No,No,No
1889,How to modulate,2,"Shepard, Frank Hartson",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/HowtoModulate_10845251,Yes,1,3,"5, 6, 10, 11",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,pp.10: The first occurence of fractional notations; *: Also used the single-quote (') notation for augmented triads,,,,,Yes,Yes,Yes,YES!
1890,Die Kunst zu Modulieren und zu Präludieren,,"Jadassohn, Salomon",German,,Forgottenbooks,https://www.forgottenbooks.com/de/books/DieKunstzuModulierenundzuPraludieren_10480172,Yes,3,3,1-183,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,Yes,Yes,No,No
1890,Katechismus der Harmonielehre (Theoretisch und Praktisch),,"Riemann, Hugo",German,,Forgottenbooks,https://www.forgottenbooks.com/de/books/KatechismusderHarmonielehreTheoretischundPraktisch_11222944,Yes,0,2,64,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,*: Proposed a different notation for augmented (+),,,,,Yes (pp.64),Yes,No,No
1890,"Traité complet d'harmonie, théorique, pratique, vocale & instrumentale",5,"Vivier, Albert-Joseph",French,,Hathitrust,https://babel.hathitrust.org/cgi/pt?id=nyp.33433082182431&view=1up&seq=7&skin=2021,Yes,3,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1892,The theory and practice of tone-relations,,"Goetschius, Percy",English,,Google,https://www.google.ca/books/edition/_/eXZTAAAAYAAJ?hl=en&gbpv=1,Yes,1,2,"13, 80",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"*: The book says ""21st"" edition, not sure if I am reading something from 1892 or much later. It mixes figured bass (inversions) and Roman numerals",,,,,Yes,Yes,Somewhat (sometimes mixed with figured bass),Key regions under brackets
1893,Goodrich's analytical harmony,,"Goodrich, Alfred John",English,,Hathitrust,https://babel.hathitrust.org/cgi/pt?id=mdp.39015009600985,Yes,2,0,404,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"ch.48: Figured bass; *: Roman numerals are actually used, but they refer to seventh chords with dissonances in a very weird nomenclature",,,,,No,No,No,No
1893,Schule Der Accord-Verbindungen: Eine Harmonielehre Fur Schulen Und Zum Selbstunterrichts,2,"Buwa, Johann",German,,Forgottenbooks,https://www.forgottenbooks.com/de/books/SchulederAccordVerbindungen_10642658,Yes,2,3,"6, 13-24",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,*: Uses the single quote (') notation for augmented,,,,,Yes,Yes (but not always),No,No
1894,Practical harmony: A comprehensive system of musical theory on a French basis,,"Norris, Homer Albert",English,,Google,https://www.google.ca/books/edition/Practical_Harmony_on_a_French_Basis/FMYPAAAAYAAJ?hl=en&gbpv=1&printsec=frontcover,Yes,3,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,No,-,No,No
1896,Harmony Simplified,5,"Shepard, Frank Hartson",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/HarmonySimplified_10035949,Yes,3,3,"57, 64, ..., 117, 137, 177, 179, 184",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"pp.106: First occurrence I have found of secondary dominant notation in an English-language book; pp.117: using numeric inversions for I64, even in plain-text descriptions; pp.137: Augmented sixth chords are, at first, not referred by names (FR,GER,IT) but by figures. Then, he says ""these names are given with reference to the nations which (supposedly) first used them; pp.179: The description in is exactly how a tonicization is written nowadays; pp.18: features numeric inversions; *: Using the single-quote notation for augmented triads;",,,,,Yes,Yes,No,YES!
1897,Harmony: a course of study,,"Chadwick, George Whitefield",English,,IMSLP,"https://imslp.org/wiki/Harmony:_A_Course_of_Study_(Chadwick,_George_Whitefield)",Yes,2,3,"6, 12, 28, 53, 64",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"pp.28: inversions go beyond 6 and 64, also includes 43; pp:64: Inversions made it to Roman numeral sequences without music notation; *: There are modulation examples where colons are used to change the key at every chord. Mentions N6 chords. Very explicit explanation for numeric inversions. Uses Riemann notation for augmented triads",,,,,Yes,Yes,Yes,No
1898,Five-part harmony,,"Gladstone, Francis Edward",English,,Hathitrust,https://babel.hathitrust.org/cgi/pt?id=uiug.30112065873835,Yes,3,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,No,No,No,No
1898,A system of Harmony,,"Clarke, Hugh Archibald",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/ASystemofHarmony_10026819,Yes,1,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,No,No,No,No
1898,Harmony Made Practical,,"Boise, Otis Bardwell",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/HarmonyMadePractical_10035515,Yes,2,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,Yes,Yes,No,No
1898,Die Theorie der Tonalität,,"Werker, Wilhelm",German,,Forgottenbooks,https://www.forgottenbooks.com/de/books/DieTheoriederTonalitat_10343453,Yes,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,No,No,No,No
1899,Exercises in Harmony,,"Cutter, Benjamin",English,,Hathitrust,https://babel.hathitrust.org/cgi/pt?id=nyp.33433082278163&view=1up&seq=21&skin=2021,Yes,2,2,"40, 41",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,*: Using numeric chord inversions; also using Riemann's notation for augmented triads. Different notation bII for Neapolitans and IV6+ for augsix,,,,,Yes,,Yes,No
1900,A course of harmony,,"Bridge, Frederick",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/ACourseofHarmony_10035352,Yes,3,1,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"pp.16: Example of Roman numerals, otherwise scarce",,,,,No,No,No,No
1900,Harmonielehre,,"Halm, August",German,,Other,http://kvk.bibliothek.kit.edu/view-title/index.php?katalog=ARCHIVE_ORG&url=http%3A%2F%2Farchive.org%2Fdetails%2Fldpd_7008474_000&signature=CQ5itLYZV3oWAfnof75Q9G6q-KV_XiVytX8Dijnbcp4&showCoverImg=1,Yes,0,2,"46, II, XVII",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"*: Uses a special syntax to denote secondary dominants. I-V I, indicating that the I is also a V in a different key, then I is the resolution on that key. The key change is indicated above the staff; later, he uses an annotation of V-V for a secondary dominant; all the other examples are I-V or I-IV, but the V-V is a nondiatonic chord, it is very similar to V/V; the XVII example is another very clear V-V","almost everything is plain-text with no musical examples; it does use Roman numerals with clear note spellings on pp.46, using that as a reference to say that there is indeed RN notation",,,,Yes,No,No,Yes (sort of)
1902,"Harmonic Analysis: A Course in the Analysis of the Chords and of the Non-harmonic Tones to Be Found in Music, Classic and Modern",,"Cutter, Benjamin",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/HarmonicAnalysis_10012086,Yes,0,3,4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,pp.4: Description of inversions with arabic numerals AND letters,,,,,Yes,Yes,Yes!,
1902,Grosse Kompositionslehre,,"Riemann, Hugo",German,,Forgottenbooks,https://www.forgottenbooks.com/de/books/GrosseKompositionslehre_10988197,Yes,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"*: There are roman numerals, they represent descending intervals",,,,,No,No,No,No
1904,A method of teaching harmony,,"Shinn, Frederick",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/AMethodofTeachingHarmony_10717817,Yes,3,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,No,No,No,No
1905,Modern harmony in its theory and practice,,"Foote, Arthur and Spalding, Walter R.",English,,Hathitrust,https://babel.hathitrust.org/cgi/pt?id=hvd.32044039681127,Yes,3,3,18,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,*: Nice explanation about the syntax. Interesting multi-row Roman numerals with not key indication. Uses the + notation for augmented triads,,,,,Yes,Yes,,
1906,Neue Musikalische Theorien und Phantasien: Harmonielehre,,"Schenker, Heinrich",German,,Forgottenbooks,https://www.forgottenbooks.com/de/books/NeueMusikalischeTheorienundPhantasien_10471428,Yes,1,3,"78, 79, 120, 188, 190, 255, 298",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Using a syntax of VI=II(Cdur), similar to a tonicization syntax, here uses the word ""Trugschluss"" (""fallacy"") in that annotation; probably, in this context trugschluss means ""deceptive cadence"", because he also talks about halbschluss (half cadence?); Somewhat close to the denominator notation in pp. 79; modal mixture notation in pp.120; Neapolitan is expressed as bII (phrygisch), instead of N[6]; pp.190: modal mixture of a minor, the minor tonic is indicated with a natural I, but is not consistent (missing on the last I before going to G major), in the G-major modulation, a minor is taken as II of G-major in a multirow annotation, then turns into bII (Neapolitan of G), then the music goes towards D-Major, there is probably a mistake in the book where it says ""nach G-dur"" i'd expect it to be ""nach D-dur""; pp.298: there is a fraction notation, it behaves like a multirow Roman numeral analysis, with the target key on the denominator",,,,,Yes,No,No,No
1907,Lessons of Harmony: Complete. Parts I and II,,"Heacox, Arthur E.",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/LessonsinHarmony_10038838,Yes,3,3,"14, 144",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,pp.14: the coexistence of figured bass and Roman numerals; pp.144: the syntax of the Neapolitan chord in root position and second inversion,,,,,Yes,Yes,Yes!,
1907,Harmonielehre,7,"Louis, Rudolf and Thuille, Ludwig",German,,Forgottenbooks,https://www.forgottenbooks.com/de/books/Harmonielehre_10633166,Yes,0,3,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,Yes,No,No,No
1908,Fortschrittliche Harmonie-und Melodielehre,,"Capellen, Georg",German,,Forgottenbooks,https://www.forgottenbooks.com/de/books/FortschrittlicheHarmonieundMelodielehre_10323464,Yes,0,1,83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"pp.83: sporadic use of Roman numeral, caseless; *: uses single-quote notation for augmented triad",,,,,No,No,No,No
1908,Lehrbuch der Harmonie,4,"Loewengard, Max Julius",German,,IMSLP,"https://imslp.org/wiki/Lehrbuch_der_Harmonie_(Loewengard,_Max)",Yes,3,3,"45, 48",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,pp.45: I64 is written with numeric inversion but ii6 is not; pp.48: some secondary dominant notation,,,,,Yes,Yes,No (except for 64),No
1908,A manual of harmony for schools,,"Gladstone, Francis Edward",English,,Hathitrust,https://babel.hathitrust.org/cgi/pt?id=uc1.b4440596,Yes,3,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,No,No,No,No
1909,The nature of music; original harmony in one voice by Julius Klauser,,"Klauser, Julius",English,,Hathitrust,https://babel.hathitrust.org/cgi/pt?id=uc1.b3209487,Yes,0,3,94,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"pp.94: Roman numerals introduced for scale-degrees; *: later in the book, more complex RNs introduced, the syntax is case-sensitive standard except for augmented triads, which are strikethrough capitals",,,,,Yes,More or less,No,
1909,"Cours d'harmonie, théorique et pratique",,"Lavignac, Albert",French,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/44432282,No,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1909,Principes du Système Musical Et de l'Harmonie Théorique Et Appliquée,,"Vinée, Anselme ",French,,Forgottenbooks,https://www.forgottenbooks.com/fr/books/PrincipesduSystemeMusicalEtdelHarmonieTheoriqueEtAppliquee_11241545,Yes,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,*: No figured bass annotations either,,,,,No (some in broad explanations of diatonic degrees),No,No,No
1909,A practical introduction to composition: Harmony simplified,4,"York, Francis L.",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/APracticalIntroductiontoComposition_10032943,Yes,0,3,"19, 91",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"pp.19: Inversions by letter explained in major triads; pp.91 shows the notation for Fr, It, Ger, all of these (and the neapolitan) are indicated as scale degrees, II #iv, #iv, and bII respectively",,,,,Yes,Yes,Yes (letters),No
1911,Harmonic Part-Writing,,"White, William Alfred",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/HarmonicPartWriting_10013474,Yes,1,3,"18, 110",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"p.18: Shows an example of a modulation from C to G, the pivot chord is written in multirow form, without key indication. The secondary row is immediately withdrown, the new Roman numerals are presented in the main row and now correspond to the target key (G major); pp.110: Features an example of modulations and secondary dominants, the secondary dominants are in parenthesis, the key changes do not propagate *: the notation is very lossy, it requires the human analyst to fill many gaps. Talks about ""side-stepping"" and ""borrowing"". Secondary dominants written as C:I (F V) IV",use as an example of consistent notation,,,,Yes,No,Yes (letter),
1911,Harmonielehre,,"Eyken, Heinrich van",German,,Forgottenbooks,https://www.forgottenbooks.com/de/books/Harmonielehre_10359009,Yes,2,3,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,,Yes,No,Yes,No
1912,Essentials of Music Theory Elementary,,"Gardner, Carl E.",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/EssentialsofMusicTheoryElementary_10002085,Yes,0,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,pp.42: use of single-quote notation for augmented triads,,,,,Yes,Yes,No (on upper staff),No
1913,Lessons in harmony,,"Mokrejs, John",English,,Hathitrust,https://babel.hathitrust.org/cgi/pt?id=nyp.33433082279542,Yes,1,3,"79, 87, 115",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"pp.79: Introducing the VofV notation, several degrees on denominator but only V on numerator; pp.87: neapolitan is indicated as ""Neap. 6th""; pp.115: his notation for multirow RNs doesn't seem consistent, sometimes indicates the key between the grandstaff, sometimes not, sometimes changes row, sometimes not *: case-unsensitive notation of Roman numerals",use as an example of inconsistent notation,,,,Yes,No,Yes,No
1913,Musikalische Kompositionsformen,,"Kallenberg, Siegfried Garibaldi",German,,Forgottenbooks,https://www.forgottenbooks.com/de/books/MusikalischeKompositionsformen_10634909,Yes,2,3,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,*: Modulations have several layers of Roman numerals with key and scale degrees indicated,,,,,Yes,No,No,No
1913,Die Diatonisch-Rhythmische Harmonisation der Gregorianischen Choralmelodien,,"Molitor, Gregor",German,,Forgottenbooks,https://www.forgottenbooks.com/de/books/DieDiatonischRhythmischeHarmonisationderGregorianischenChoralmelodien_10322019,Yes,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,No,No,No,No
1913,Handbuch der Harmonie-und Modulationslehre,8,"Riemann, Hugo",German,,Forgottenbooks,https://www.forgottenbooks.com/de/books/HandbuchderHarmonieundModulationslehre_10636102,Yes,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,Yes (do not mean what you expect),No,No,No
